Book-Id,ISBN,Book-Title,Book-Author,Publisher,Year-Of-Publication,categories,description,Image-URL-S,Image-URL-M,Image-URL-L,tokenized_description
0,0440234743,The Testament,John Grisham,Dell,1999,Fiction,suicidal billionaire burnt washington litigator woman forsaken technology work wilds brazil brought together astounding mystery testament,http://images.amazon.com/images/P/0440234743.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440234743.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440234743.01.LZZZZZZZ.jpg,"['suicidal', 'billionaire', 'burnt', 'washington', 'litigator', 'woman', 'forsaken', 'technology', 'work', 'wilds', 'brazil', 'brought', 'together', 'astounding', 'mystery', 'testament']"
1,0553582909,Icebound,Dean R. Koontz,Bantam Books,2000,Fiction,secret arctic experiment turns frozen nightmare team scientists stranded drifting iceberg massive explosive charge battles elements survival discover one murderer reissue,http://images.amazon.com/images/P/0553582909.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553582909.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553582909.01.LZZZZZZZ.jpg,"['secret', 'arctic', 'experiment', 'turns', 'frozen', 'nightmare', 'team', 'scientists', 'stranded', 'drifting', 'iceberg', 'massive', 'explosive', 'charge', 'battles', 'elements', 'survival', 'discover', 'one', 'murderer', 'reissue']"
2,0842342702,Left Behind: A Novel of the Earth's Last Days (Left Behind #1),Tim Lahaye,Tyndale House Publishers,2000,Fiction,first book author successful last days series follows pilot tries recover effects rapture reprint,http://images.amazon.com/images/P/0842342702.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0842342702.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0842342702.01.LZZZZZZZ.jpg,"['first', 'book', 'author', 'successful', 'last', 'days', 'series', 'follows', 'pilot', 'tries', 'recover', 'effects', 'rapture', 'reprint']"
3,0316769487,The Catcher in the Rye,J.D. Salinger,"Little, Brown",1991,Fiction,brilliant funny meaningful novel new yorker established salinger leading voice american literature instilled millions readers around world lifelong love books really want hear first thing probably want know born lousy childhood like parents occupied david copperfield kind crap feel like going want know truth hero narrator catcher rye ancient child sixteen native new yorker named holden caufield circumstances tend preclude adult secondhand description leaves prep school pennsylvania goes underground new york city three days,http://images.amazon.com/images/P/0316769487.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0316769487.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0316769487.01.LZZZZZZZ.jpg,"['brilliant', 'funny', 'meaningful', 'novel', 'new', 'yorker', 'established', 'salinger', 'leading', 'voice', 'american', 'literature', 'instilled', 'millions', 'readers', 'around', 'world', 'lifelong', 'love', 'books', 'really', 'want', 'hear', 'first', 'thing', 'probably', 'want', 'know', 'born', 'lousy', 'childhood', 'like', 'parents', 'occupied', 'david', 'copperfield', 'kind', 'crap', 'feel', 'like', 'going', 'want', 'know', 'truth', 'hero', 'narrator', 'catcher', 'rye', 'ancient', 'child', 'sixteen', 'native', 'new', 'yorker', 'named', 'holden', 'caufield', 'circumstances', 'tend', 'preclude', 'adult', 'secondhand', 'description', 'leaves', 'prep', 'school', 'pennsylvania', 'goes', 'underground', 'new', 'york', 'city', 'three', 'days']"
4,067976397X,Corelli's Mandolin : A Novel,LOUIS DE BERNIERES,Vintage,1995,Fiction,idyllic world greek island cephallonia forever changed inexorable changes world war ii inhabitants struggle cope axis invasion occupation,http://images.amazon.com/images/P/067976397X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/067976397X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/067976397X.01.LZZZZZZZ.jpg,"['idyllic', 'world', 'greek', 'island', 'cephallonia', 'forever', 'changed', 'inexorable', 'changes', 'world', 'war', 'ii', 'inhabitants', 'struggle', 'cope', 'axis', 'invasion', 'occupation']"
5,0671042858,The Girl Who Loved Tom Gordon,Stephen King,Pocket,2000,Fiction,acclaimed new york times undisputed king horror stephen king offers frightening suspense novel young girl becomes lost woods night falls six mile hike maine new hampshire branch appalachian trail nine year old trisha mcfarland quickly tires constant bickering older brother pete recently divorced mother wanders tries catch attempting shortcut becomes lost wilderness maze full peril terror night falls trisha ingenuity defense elements courage faith withstand mounting fears solace tunes walkman broadcasts boston red sox baseball games follows gritty performances hero relief pitcher tom gordon radio reception begins fade trisha imagines tom gordon protecting real enemy left trail slaughtered animals mangled trees dense dark woods,http://images.amazon.com/images/P/0671042858.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671042858.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671042858.01.LZZZZZZZ.jpg,"['acclaimed', 'new', 'york', 'times', 'undisputed', 'king', 'horror', 'stephen', 'king', 'offers', 'frightening', 'suspense', 'novel', 'young', 'girl', 'becomes', 'lost', 'woods', 'night', 'falls', 'six', 'mile', 'hike', 'maine', 'new', 'hampshire', 'branch', 'appalachian', 'trail', 'nine', 'year', 'old', 'trisha', 'mcfarland', 'quickly', 'tires', 'constant', 'bickering', 'older', 'brother', 'pete', 'recently', 'divorced', 'mother', 'wanders', 'tries', 'catch', 'attempting', 'shortcut', 'becomes', 'lost', 'wilderness', 'maze', 'full', 'peril', 'terror', 'night', 'falls', 'trisha', 'ingenuity', 'defense', 'elements', 'courage', 'faith', 'withstand', 'mounting', 'fears', 'solace', 'tunes', 'walkman', 'broadcasts', 'boston', 'red', 'sox', 'baseball', 'games', 'follows', 'gritty', 'performances', 'hero', 'relief', 'pitcher', 'tom', 'gordon', 'radio', 'reception', 'begins', 'fade', 'trisha', 'imagines', 'tom', 'gordon', 'protecting', 'real', 'enemy', 'left', 'trail', 'slaughtered', 'animals', 'mangled', 'trees', 'dense', 'dark', 'woods']"
6,038572179X,Atonement : A Novel,IAN MCEWAN,Anchor,2003,Fiction,england thirteen year old briony tallis witnesses event involving sister cecilia childhood friend robbie turner becomes victim imagination leads lifelong search truth absolution,http://images.amazon.com/images/P/038572179X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/038572179X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/038572179X.01.LZZZZZZZ.jpg,"['england', 'thirteen', 'year', 'old', 'briony', 'tallis', 'witnesses', 'event', 'involving', 'sister', 'cecilia', 'childhood', 'friend', 'robbie', 'turner', 'becomes', 'victim', 'imagination', 'leads', 'lifelong', 'search', 'truth', 'absolution']"
7,0060977493,The God of Small Things,Arundhati Roy,Perennial,1998,Fiction,debut novel dark foreboding family tragedy prestigious booker prize traces decline one family southern india late sixties begins episode forbidden love reprint tour,http://images.amazon.com/images/P/0060977493.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060977493.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060977493.01.LZZZZZZZ.jpg,"['debut', 'novel', 'dark', 'foreboding', 'family', 'tragedy', 'prestigious', 'booker', 'prize', 'traces', 'decline', 'one', 'family', 'southern', 'india', 'late', 'sixties', 'begins', 'episode', 'forbidden', 'love', 'reprint', 'tour']"
8,034543191X,The King of Elfland's Daughter (Del Rey Impact),Edward John Moreton Drax Plunkett Dunsany,Del Rey Books,1999,Fiction,young prince ventures mysterious forest search land faerie princess bride one landmarks modern fantasy fiction,http://images.amazon.com/images/P/034543191X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/034543191X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/034543191X.01.LZZZZZZZ.jpg,"['young', 'prince', 'ventures', 'mysterious', 'forest', 'search', 'land', 'faerie', 'princess', 'bride', 'one', 'landmarks', 'modern', 'fantasy', 'fiction']"
9,0375751513,The Picture of Dorian Gray (Modern Library (Paperback)),OSCAR WILDE,Modern Library,1998,Fiction,handsome appearance dissolute young dorian gray remains unchanged features portrait become distorted degeneration progresses,http://images.amazon.com/images/P/0375751513.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0375751513.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0375751513.01.LZZZZZZZ.jpg,"['handsome', 'appearance', 'dissolute', 'young', 'dorian', 'gray', 'remains', 'unchanged', 'features', 'portrait', 'become', 'distorted', 'degeneration', 'progresses']"
