User-ID,Book-Rating,Book-Id
277427,9,9
277427,9,287
277427,10,205
277427,10,162
277427,9,64
277427,10,490
278026,9,1155
278026,8,231
278026,8,1238
278418,10,650
278418,8,36
278418,7,705
278582,7,301
278582,7,268
278582,10,52
278633,7,27
278633,7,346
278633,7,437
254,5,502
254,9,209
254,7,16
254,9,498
882,10,73
882,9,507
882,10,505
1424,9,516
1424,7,50
1424,7,72
1424,7,124
1424,8,511
1424,7,411
1424,8,54
1674,10,83
1674,10,166
1674,6,84
1733,7,20
1733,8,91
1733,8,25
1848,5,56
1848,10,96
1848,8,95
2030,10,526
2030,10,101
2030,10,100
2033,9,209
2033,7,527
2033,10,534
2033,8,535
2033,8,536
2033,10,141
2033,10,489
2033,10,126
2033,10,533
2033,10,531
2033,8,422
2033,9,530
2033,10,529
2033,10,532
2110,7,156
2110,8,34
2110,9,537
2276,10,376
2276,10,539
2276,8,540
2276,10,17
2276,10,531
2276,10,422
2313,9,117
2313,9,116
2313,7,114
2891,9,133
2891,8,83
2891,9,545
2891,8,116
2891,9,374
2891,8,132
2977,8,546
2977,5,53
2977,3,58
2977,9,16
3371,5,317
3371,10,142
3371,9,558
3640,8,147
3640,5,157
3640,5,104
3814,3,164
3814,7,163
3814,5,48
3917,7,172
3917,5,174
3917,7,59
3917,7,173
3917,8,171
3917,6,175
3917,8,176
4017,9,197
4017,9,45
4017,9,172
4017,9,561
4017,10,179
4017,8,644
4017,10,39
4017,9,484
4017,10,53
4017,9,102
4017,10,563
4017,10,180
4017,8,333
4017,9,116
4017,8,564
4017,10,195
4017,9,562
4017,9,560
4017,9,48
4385,10,571
4385,10,194
4385,10,569
4385,10,140
4385,10,567
4385,10,568
4385,10,339
5582,8,572
5582,8,324
5582,10,119
5582,7,300
5582,7,234
5582,9,100
5582,6,574
5582,10,87
5582,9,235
5582,5,438
5582,9,480
5582,9,211
5582,8,573
5582,10,236
5728,9,240
5728,10,239
5728,6,241
5903,8,437
5903,9,74
5903,8,123
6073,8,253
6073,8,58
6073,9,42
6073,9,252
6073,10,578
6073,10,4
6073,9,237
6238,9,258
6238,8,259
6238,9,172
6238,10,260
6238,10,217
6238,9,256
6238,8,257
6242,7,71
6242,5,435
6242,7,261
6242,5,579
6242,6,486
6242,8,218
6242,7,48
6242,6,176
6251,10,582
6251,7,588
6251,7,301
6251,7,589
6251,10,47
6251,10,36
6251,10,542
6251,10,76
6251,7,64
6251,9,590
6251,10,586
6251,10,132
6532,10,274
6532,4,275
6532,7,111
6543,10,277
6543,8,253
6543,8,301
6543,8,61
6543,10,47
6543,10,83
6543,9,596
6543,7,4
6543,10,491
6543,8,254
6543,9,48
6563,6,504
6563,8,156
6563,8,21
6563,9,278
6563,7,496
6563,8,192
6563,2,16
6563,10,279
6566,8,441
6566,8,281
6566,9,52
6575,7,21
6575,8,602
6575,4,288
6575,8,172
6575,7,601
6575,9,119
6575,9,301
6575,7,124
6575,8,612
6575,2,49
6575,7,333
6575,5,450
6575,7,379
6575,7,64
6575,7,319
6575,8,283
6575,9,282
6575,9,52
7125,8,50
7125,8,306
7125,7,170
7125,7,307
7125,10,223
7125,8,123
7125,10,279
7158,9,27
7158,8,593
7158,8,616
7283,8,315
7283,8,314
7283,10,227
7346,7,622
7346,8,119
7346,8,301
7346,6,33
7346,9,0
7346,8,326
7346,9,319
7915,10,301
7915,6,278
7915,5,294
8066,8,83
8066,4,74
8066,7,218
8067,10,34
8067,10,119
8067,10,301
8067,8,49
8067,7,279
8067,10,338
8187,8,119
8187,8,301
8187,8,268
8245,9,632
8245,9,418
8245,6,195
8245,8,92
8245,8,22
8245,9,374
8253,10,197
8253,10,50
8253,8,7
8253,8,61
8253,8,163
8253,10,6
8253,9,225
8253,10,16
8454,9,348
8454,8,7
8454,9,156
8454,7,27
8454,8,112
8454,10,228
8454,7,163
8454,6,124
8454,8,6
8454,8,349
8454,10,64
8454,9,17
8454,10,132
8681,8,644
8681,8,58
8681,7,506
8681,9,638
8681,7,545
8681,9,512
8681,7,641
8681,9,642
8681,7,640
8681,10,520
8681,10,105
8681,10,178
8681,8,645
8734,7,15
8734,7,544
8734,7,648
8801,8,3
8801,7,217
8801,10,267
8872,9,593
8872,7,326
8872,8,231
8872,9,358
9417,6,275
9417,8,31
9417,7,375
10314,6,27
10314,8,228
10314,6,82
10314,6,102
10314,7,6
10314,9,319
10314,8,48
10560,9,83
10560,8,574
10560,8,528
10560,7,184
10819,8,664
10819,9,542
10819,7,403
11245,7,376
11245,9,128
11245,8,269
11245,9,104
11601,6,315
11601,10,346
11601,10,650
11601,10,675
11601,10,48
11638,10,172
11638,9,260
11638,7,170
11638,8,420
11676,3,1095
11676,10,2042
11676,9,133
11676,9,85
11676,7,892
11676,10,1676
11676,9,516
11676,9,716
11676,4,45
11676,8,156
11676,7,1033
11676,9,322
11676,8,526
11676,9,149
11676,3,746
11676,7,886
11676,7,1173
11676,10,15
11676,3,625
11676,9,21
11676,5,1582
11676,8,27
11676,8,147
11676,1,1602
11676,10,161
11676,8,228
11676,9,172
11676,4,561
11676,8,2292
11676,8,898
11676,10,1606
11676,7,72
11676,9,546
11676,7,168
11676,8,622
11676,7,131
11676,7,165
11676,8,1025
11676,9,904
11676,7,119
11676,1,1566
11676,10,160
11676,7,1179
11676,8,475
11676,4,268
11676,1,14
11676,9,185
11676,3,1311
11676,5,626
11676,8,155
11676,9,789
11676,9,1360
11676,3,306
11676,8,317
11676,6,950
11676,7,734
11676,10,118
11676,10,2101
11676,10,309
11676,8,82
11676,9,9
11676,10,367
11676,10,250
11676,7,647
11676,7,69
11676,10,170
11676,5,47
11676,10,1746
11676,7,102
11676,10,122
11676,10,712
11676,9,83
11676,9,207
11676,8,71
11676,10,221
11676,8,124
11676,7,557
11676,10,823
11676,9,650
11676,10,36
11676,10,548
11676,10,142
11676,8,401
11676,7,444
11676,6,271
11676,10,627
11676,6,167
11676,8,213
11676,5,327
11676,8,216
11676,9,476
11676,10,128
11676,9,24
11676,8,1203
11676,6,1087
11676,10,209
11676,5,912
11676,9,844
11676,4,479
11676,8,81
11676,9,0
11676,5,287
11676,8,542
11676,8,1893
11676,4,205
11676,6,1310
11676,8,909
11676,10,210
11676,8,496
11676,10,460
11676,10,591
11676,10,559
11676,8,792
11676,9,162
11676,7,269
11676,7,296
11676,7,139
11676,6,1230
11676,7,261
11676,8,273
11676,8,326
11676,6,1674
11676,1,724
11676,8,263
11676,9,455
11676,9,31
11676,6,432
11676,8,544
11676,10,195
11676,7,748
11676,9,773
11676,8,86
11676,4,266
11676,8,13
11676,8,87
11676,7,76
11676,9,280
11676,6,42
11676,1,1124
11676,8,267
11676,6,242
11676,10,186
11676,9,166
11676,8,853
11676,8,99
11676,6,2061
11676,8,584
11676,5,1163
11676,8,2349
11676,6,157
11676,6,104
11676,8,722
11676,9,383
11676,8,143
11676,10,558
11676,6,362
11676,10,5
11676,4,668
11676,10,1242
11676,8,379
11676,5,223
11676,7,88
11676,5,64
11676,7,745
11676,9,837
11676,8,237
11676,10,795
11676,5,334
11676,4,941
11676,9,426
11676,8,579
11676,5,486
11676,9,845
11676,6,896
11676,8,106
11676,9,264
11676,9,75
11676,9,226
11676,10,1302
11676,8,1318
11676,9,1723
11676,8,54
11676,8,368
11676,9,774
11676,3,22
11676,7,917
11676,7,818
11676,9,2
11676,10,881
11676,8,218
11676,9,531
11676,8,1469
11676,8,1063
11676,7,339
11676,7,636
11676,10,48
11676,10,852
11676,8,369
11676,10,1266
11676,7,1006
11676,6,648
12100,8,434
12100,8,180
12100,7,432
12100,7,80
12100,9,681
12100,8,433
12538,7,33
12538,6,682
12538,10,248
12538,9,16
12538,8,143
12538,9,685
12538,8,595
13080,9,2113
13080,10,452
13080,9,105
13273,9,50
13273,9,109
13273,5,449
13273,8,104
13552,7,504
13552,9,288
13552,6,160
13552,8,275
13552,8,0
13552,9,559
13552,7,13
13552,6,704
13552,7,702
13552,5,570
13552,4,123
13552,8,701
13552,8,568
13850,9,3
13850,7,367
13850,9,707
13850,10,706
13995,9,3
13995,8,163
13995,9,102
13995,5,208
14336,7,481
14336,5,484
14336,8,480
14374,3,233
14374,9,42
14374,10,17
14387,8,714
14387,8,154
14387,8,102
14387,9,201
14387,9,52
14422,8,72
14422,9,73
14422,4,195
14422,9,717
14422,9,52
14456,8,3
14456,10,209
14456,8,618
14456,10,490
14456,10,491
14456,10,492
14456,10,489
14456,9,488
15408,9,733
15408,10,736
15408,10,728
15408,8,80
15408,9,54
15418,8,301
15418,8,268
15418,10,742
15418,7,741
15602,7,153
15602,8,154
15602,7,82
15602,7,449
15602,8,334
15945,5,47
15945,9,752
15945,6,751
16106,9,147
16106,10,579
16106,10,190
16106,10,52
16504,5,389
16504,7,767
16504,10,768
16504,8,585
16545,8,769
16545,7,542
16545,9,544
16634,9,117
16634,10,784
16634,10,385
16634,9,788
16634,8,154
16634,8,12
