User-ID,ISBN,Book-Rating
276747,0679776818,8
276804,0440498058,8
276808,0395547032,10
276822,0141310340,9
276872,0425188221,7
276904,0440228840,10
276925,0140154078,6
276957,0312966970,6
277107,006054094X,8
277107,081297106X,10
277109,0751503894,5
277195,0671021001,10
277196,0553271644,7
277197,0375703861,7
277235,0375703861,10
277285,0806523794,9
277427,0375751513,9
277427,0440236738,9
277427,0441627404,10
277427,0446608890,10
277427,0679731148,9
277427,0836217691,10
277435,031215125X,8
277478,0752853694,10
277527,0679723161,8
277639,0553579754,7
277647,067976397X,8
277698,0316769487,6
277710,0425192032,9
277710,0451210840,5
277744,0440235162,5
277807,0345443284,5
277922,0553582917,10
277928,0767915062,9
277937,0316168815,7
277945,0312983301,6
277965,0446526126,8
277984,1593080549,10
278026,0060572965,9
278026,0451206525,8
278026,0515135968,8
278063,0452281253,7
278137,0446606812,7
278185,0142000205,4
278218,0060977493,7
278221,0671027123,8
278253,0345455916,10
278297,0743418719,9
278355,1577780728,9
278356,006091646X,9
278388,0786886323,8
278418,0394800168,10
278418,0394820371,8
278418,0440184622,7
278461,0843949090,10
278525,0394820371,10
278535,0425182878,9
278552,0671021001,7
278582,0312980140,7
278582,0312983867,7
278582,1400034779,10
278586,0446606812,5
278633,0142000205,7
278633,0375703063,7
278633,0743225082,7
278645,0060959037,8
278653,0446606812,6
278672,0679731148,7
278773,0345457374,9
278798,0316284955,7
278836,0312983867,8
278843,0142000205,9
278854,0375703063,7
39,0553582909,8
91,0316769487,9
243,0060977493,7
243,0385720106,7
244,0060977493,7
254,0066238501,5
254,0439064864,9
254,0671021001,7
254,156389226X,9
280,0316769487,7
424,0671021001,6
424,0805063897,8
441,0446610178,7
487,0486272664,9
496,0425182878,8
499,0743412621,10
503,0385496095,10
508,0385335679,6
638,0316769487,10
638,0345339711,10
677,0345418778,8
714,0451155750,7
726,0451454243,10
746,0394820371,8
758,0140620125,10
828,0345409469,10
853,0345375211,9
882,0440235162,10
882,051509465X,9
882,0618260307,10
900,0553572490,6
1021,0060930535,10
1025,0552998001,9
1025,0743225082,8
1048,0785263780,8
1054,1400034779,8
1075,0767902521,9
1075,1400034779,5
1098,031227999X,7
1116,0061030651,8
1131,0394758285,7
1131,0679772677,7
1167,0060929596,10
1180,0812565959,10
1210,0679731148,9
1211,0752853694,8
1297,0679731148,7
1331,0141180633,9
1375,0743203313,5
1396,0380727501,10
1399,0312423799,9
1412,0385494785,9
1424,0060730552,9
1424,0060930535,7
1424,031215125X,7
1424,0385720106,7
1424,0618446877,8
1424,0743431014,7
1424,0767902521,8
1435,0374517886,8
1435,0517149257,10
1585,0316919896,7
1652,0679744479,7
1674,038548951X,10
1674,0553380958,10
1674,0679725164,6
1688,0515122491,5
1688,0515131091,6
1706,0679721819,8
1719,0671027123,3
1719,0679745645,7
1733,0425181111,7
1733,0517077744,8
1733,0743412621,8
1812,0671708635,7
1848,0061030651,5
1848,0765348446,10
1848,0812513738,8
1892,0767902521,9
1903,0060931361,9
1903,0345409469,10
2030,006251279X,10
2030,0062513346,10
2030,0385315287,10
2033,0439064864,9
2033,0441004997,7
2033,0812521358,10
2033,0812532619,8
2033,0812532635,8
2033,0836204387,10
2033,0836221362,10
2033,0886773784,10
2033,0886774004,10
2033,0886774632,10
2033,0886775167,8
2033,0886776619,9
2033,0886777208,10
2033,0886777739,10
2070,0553275860,9
2105,0671004549,7
2106,081297106X,6
2110,0060987529,7
2110,0064472779,8
2110,0373638167,9
2139,0743262174,8
2152,0375727132,7
2172,0425169693,5
2179,0380815931,10
2183,0671021001,9
2189,0312243359,8
2189,0394757653,7
2276,0312989385,10
2276,0449007383,10
2276,0756400619,8
2276,0805063897,10
2276,0886774632,10
2276,0886775167,10
2281,0425181103,7
2313,0020442602,9
2313,0452260116,9
2313,0679733760,7
2358,0451160312,6
2439,0060507403,8
2439,0679767398,7
2453,0515122491,10
2466,0312966970,9
2484,0385474016,7
2499,080213825X,5
2503,1400034779,7
2605,0767907817,7
2630,0684823780,8
2638,0142000205,8
2643,0886773784,9
2651,0425180964,8
2685,0345396537,9
2766,0679733760,5
2766,0767902521,8
2855,0425180964,8
2891,0060504080,9
2891,038548951X,8
2891,044900483X,9
2891,0452260116,8
2891,140003065X,9
2891,1400032717,8
2945,038548951X,8
2977,0312194390,8
2977,037570504X,5
2977,0385491050,3
2977,0671021001,9
3052,1400032717,9
3077,0380699176,8
3104,0805063897,8
3113,0385265700,6
3310,0671042858,7
3329,0440234743,8
3331,0449006530,4
3331,0553576011,9
3344,1400034779,9
3346,0836204387,9
3363,0385722435,10
3371,0373484410,5
3371,0399226907,10
3371,0671025708,9
3373,0671014919,6
3437,0060964049,10
3471,0393960579,7
3546,0142002267,8
3573,0886774268,9
3578,0609808346,9
3588,0156628708,7
3601,0316284955,7
3605,0345441702,8
3640,0142002267,8
3640,0670820555,5
3640,0671004549,5
3670,0684856476,8
3675,1400041988,8
3709,067102423X,10
3719,0312978332,6
3761,0156001454,9
3814,0060391537,3
3814,0375703861,7
3814,1573225789,5
3821,0060930535,7
3827,0312274920,8
3853,0486270610,10
3865,038079487X,7
3917,0156007754,7
3917,0385497091,5
3917,0394758285,7
3917,0671027638,7
3917,1570625190,8
3917,1573226882,6
3917,1573228214,8
3948,0451155750,9
3951,0060931809,7
4017,0060929871,9
4017,0060964049,9
4017,0156007754,9
4017,0156907399,9
4017,0231121008,10
4017,0312186886,8
4017,0345443284,10
4017,0375701966,9
4017,037570504X,10
4017,0385265700,9
4017,0393956539,10
4017,0399142789,10
4017,0449002985,8
4017,0452260116,9
4017,0452282098,8
4017,0452282829,10
4017,0679723056,9
4017,0679723692,9
4017,1573225789,9
4092,076534128X,6
4092,0812575237,7
4098,0553380168,10
4098,067104155X,7
4157,0380727501,8
4157,0812968379,9
4223,0552998001,7
4385,0345446100,10
4385,0446600342,10
4385,0553567683,10
4385,0553576011,10
4385,0821746219,10
4385,155166531X,10
4385,1551667436,10
4386,0452282829,6
4483,0060929871,6
4483,0393318680,10
4570,0679772677,7
4571,1400034779,9
4600,0345339711,10
4622,0140177396,8
4785,1570625190,6
4795,0060930535,10
4809,0439064864,7
4938,0451527038,10
4999,1400034779,10
5034,0425170349,10
5091,0449218473,8
5101,0060977493,5
5209,0345350804,10
5286,0671027638,8
5296,0385265700,6
5337,0425179613,5
5346,0375724370,9
5361,0871136791,8
5385,0440504708,7
5385,0688140718,4
5424,0312243359,10
5439,0805063897,10
5468,1559210869,7
5490,0060930535,7
5501,0553580515,7
5539,0451206525,9
5539,0743454146,10
5553,0345396936,8
5582,0020199856,8
5582,0060987324,8
5582,0312966970,10
5582,0345301110,7
5582,0380818957,7
5582,0385315287,9
5582,0452281431,6
5582,0515131091,10
5582,0553299611,9
5582,0671887173,5
5582,0679785892,9
5582,068483183X,9
5582,0804001480,8
5582,0811212475,10
5636,0425162443,8
5709,0064472779,7
5722,0060930535,8
5722,0385333501,8
5728,0451166582,9
5728,0451194861,10
5728,0671026011,6
5741,0451206525,8
5768,0385265700,8
5782,0316284955,8
5783,0425181103,7
5875,0441627404,6
5903,0743225082,8
5903,076790382X,9
5903,0767907817,8
5932,0156628708,5
5942,0345384563,8
5958,0451160193,6
6015,0316284955,5
6018,0142000205,5
6018,0375760393,7
6066,0552133256,7
6073,0140065504,8
6073,0385491050,8
6073,0553273914,9
6073,0671742515,9
6073,0679723161,10
6073,067976397X,10
6073,0679776818,9
6102,0142001805,9
6102,0375703861,8
6238,0156005204,9
6238,0156006243,8
6238,0156007754,9
6238,0156010593,10
6238,0375724370,10
6238,0375724958,9
6238,0879100362,8
6242,0385494785,7
6242,0446678457,5
6242,0449910830,7
6242,0684850273,5
6242,0684852225,6
6242,0871136791,8
6242,1573225789,7
6242,1573228214,6
6251,0156189216,10
6251,0156717204,7
6251,0312980140,7
6251,0345440145,7
6251,0380813815,10
6251,0394820371,10
6251,0440498058,10
6251,0517149257,10
6251,0679731148,7
6251,0767900316,9
6251,0880291230,10
6251,1400032717,10
6254,0842342702,10
6280,0140153195,5
6302,0451207645,5
6308,0452282829,8
6312,0743428188,8
6318,0671042858,6
6323,0517084791,5
6323,0684852225,7
6368,0312983867,10
6401,0446612626,5
6431,0425144372,9
6431,0439064864,10
6452,0452282829,5
6505,0446605581,8
6516,0671742515,6
6532,0345384229,10
6532,0425099334,4
6532,0425181103,7
6537,0316284955,8
6543,0060745908,10
6543,0140065504,8
6543,0312980140,8
6543,0345436911,8
6543,0380813815,10
6543,038548951X,10
6543,0679729771,9
6543,067976397X,7
6543,0836218051,10
6543,1400031362,8
6543,1573225789,9
6563,0060085444,6
6563,0060987529,8
6563,0140286276,8
6563,0345450698,9
6563,0446600474,7
6563,0552998001,8
6563,0671021001,2
6563,0804114609,10
6564,0312980388,10
6564,0553212419,10
6566,0312983301,8
6566,0553284118,8
6566,1400034779,9
6575,0140286276,7
6575,0140309594,8
6575,0141000198,4
6575,0156007754,8
6575,015640057X,7
6575,0312966970,9
6575,0312980140,9
6575,0385720106,7
6575,0393311031,8
6575,0446606812,2
6575,0449002985,7
6575,0449221393,5
6575,0671743058,7
6575,0679731148,7
6575,0743227441,7
6575,0747541604,8
6575,0786886323,9
6575,1400034779,9
6577,0425182878,7
6582,0804119430,6
6679,0425162443,7
6679,0671042858,10
6689,0679729917,10
6689,0805210555,9
6772,0553279378,6
6803,0671727796,9
6893,038073186X,9
6894,0140177396,10
6900,0316284955,10
