isbn13,isbn10,title,subtitle,authors,categories,thumbnail,description,published_year,average_rating,num_pages,ratings_count
9780060540944,006054094X,1421,The Year China Discovered America,Gavin Menzies,History,http://books.google.com/books/content?id=lD7S4QLUjBkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Based on 15 years of in-depth research, ""1421"" traces the voyages of an extraordinary fleet of Chinese ships, whose crews actually charted America 70 years before Columbus. Four 8-page color inserts. 37 maps & diagrams.",2004.0,3.59,650.0,11289.0
9780060913076,006091307X,The Crying of Lot 49,,Thomas Pynchon,Fiction,http://books.google.com/books/content?id=njOBt0OWKOQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The highly original satire about Oedipa Maas, a woman who finds herself enmeshed in a worldwide conspiracy, meets some extremely interesting characters, and attains a not inconsiderable amount of self knowledge.",1966.0,3.7,152.0,54061.0
9780064410342,006441034X,Howl's Moving Castle,,Diana Wynne Jones,Juvenile Fiction,http://books.google.com/books/content?id=f3RHPfF7uCwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"In the land of Ingary, such things as spells, invisible cloaks, and seven-league boots were everyday things. The Witch of the Waste was another matter. After fifty years of quiet, it was rumored that the Witch was about to terrorize the country again. So when a moving black castle, blowing dark smoke from its four thin turrets, appeared on the horizon, everyone thought it was the Witch. The castle, however, belonged to Wizard Howl, who, it was said, liked to suck the souls of young girls. The Hatter sisters--Sophie, Lettie, and Martha--and all the other girls were warned not to venture into the streets alone. But that was only the beginning. In this giant jigsaw puzzle of a fantasy, people and things are never quite what they seem. Destinies are intertwined, identities exchanged, lovers confused. The Witch has placed a spell on Howl. Does the clue to breaking it lie in a famous poem? And what will happen to Sophie Hatter when she enters Howl's castle? Diana Wynne Jones's entrancing fantasy is filled with surprises at every turn, but when the final stormy duel between the Witch and the Wizard is finished, all the pieces fall magically into place.",2001.0,4.3,329.0,148957.0
9780140447897,014044789X,Metamorphosis,,Ovid;David Raeburn,Fiction,http://books.google.com/books/content?id=D3McXPPkPK8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A new translation in hexameter verse of Ovid's narrative poem embraces more than two hundred mythical tales linked by the theme of transformation, incorporating many famed myths and legends of ancient Greece and Rome.",2004.0,4.05,723.0,46550.0
9780142000687,014200068X,Cannery Row,,John Steinbeck,Fiction,http://books.google.com/books/content?id=mNaNQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Vividly depicts the colorful, sometimes disreputable, inhabitants of a run-down area in Monterey, California.",2002.0,4.03,181.0,92582.0
9780307238276,030723827X,Giada's Family Dinners,,Giada De Laurentiis,Cooking,http://books.google.com/books/content?id=lfRvDwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The Food Network host and best-selling author of Everyday Italian presents a collection of easy-to-prepare, flexible recipes for Italian food lovers with a busy schedule, explaining how to put together simple but tempting meals for everyday evening dinners or for special holiday occasions. 400,000 first printing.",2006.0,3.96,256.0,13866.0
9780312353261,031235326X,A Woman of Substance,,Barbara Taylor Bradford,Fiction,http://books.google.com/books/content?id=vrAja1wLa5AC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Emma Harte rises from impoverished, pregnant servant to the heights of wealth and power as she parlays a small shop into the world's finest department store, outwitting her enemies, seeking revenge on her betrayers, and realizing her greatest dreams.",2005.0,4.17,928.0,33783.0
9780345464019,034546401X,Saving Fish from Drowning,,Amy Tan,Fiction,http://books.google.com/books/content?id=jZbHwEPpwFwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"On an ill-fated art expedition, eleven Americans find themselves deep in the Burmese jungle, where they encounter a tribe awaiting a leader and the mystical book of wisdom that will protect them from the Myanmar military regime.",2006.0,3.43,472.0,26172.0
9780349111889,034911188X,Brief Interviews with Hideous Men,,David Foster Wallace,Misogyny,http://books.google.com/books/content?id=UCWwQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"In his startling and singular new short story collection, David Foster Wallace nudges at the boundaries of fiction with inimitable wit and seductive intelligence. Among the stories are 'The Depressed Person', a dazzling and blackly humorous portrayal of a woman's mental state; 'Adult World', which reveals a woman's agonised consideration of her confusing sexual relationship with her husband; and 'Brief Interviews with Hideous Men', a dark, hilarious series of portraits of men whose fear of women renders them grotesque. Wallace's stories present a world where the bizarre and the banal are interwoven and where hideous men appear in many different guises. Thought-provoking and playful, this collection confirms David Foster Wallace as one of the most imaginative young writers around. Wallace delights in leftfield observation, mining the ironic, the surprising and the illuminating from every situation. His new collection will delight his growing number of fans, and provide a perfect introduction for new readers.",2001.0,3.87,273.0,17500.0
9780375703874,037570387X,The Autograph Man,A Novel,Zadie Smith,Fiction,http://books.google.com/books/content?id=-IICohe78K8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Autograph trader Alex-Li Tandem embarks on an odyssey that takes him from London to New York in pursuit of the only autograph that has ever really mattered to him, dealing with con men and fellow collectors who would hinder his quest.",2003.0,3.15,347.0,9202.0
9780375705045,037570504X,"Breath, Eyes, Memory",,Edwidge Danticat,Fiction,http://books.google.com/books/content?id=p59DpQ14VEQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,Oprah's Book Club.,1998.0,3.87,234.0,24348.0
9780375759314,037575931X,Crossing to Safety,,Wallace Stegner,Fiction,http://books.google.com/books/content?id=nLo4DFPtwHAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Two young couples, Sid and Charity and Larry and Sally, from different backgrounds--East and West, rich and poor--befriend each other in 1937 Madison, Wisconsin, in an evocative and insightful portrait of family and friendship. Reprint. 25,000 first printing.",2002.0,4.16,368.0,29642.0
9780375760136,037576013X,Daniel Deronda,,George Eliot,Fiction,http://books.google.com/books/content?id=uPiMxnLvZWEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Deronda, a high-minded young man searching for his path in life, finds himself drawn by a series of dramatic encounters into two contrasting worlds: the English country-house life of Gwendolen Harleth, a high-spirited beauty trapped in an oppressive marriage, and the very different lives of a poor Jewish girl, Mirah, and her family. As Deronda uncovers the long-hidden secret of his own parentage, Eliot's moving and suspenseful narrative opens up a world of Jewish experience previously unknown to the Victorian novel.",1876.0,3.83,796.0,19852.0
9780380794874,038079487X,What Looks Like Crazy On an Ordinary Day,,Pearl Cleage,Fiction,http://books.google.com/books/content?id=FoIQtW6tqhAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"In a remarkable debut novel that sizzles with sensuality, crackles with life-affirming energy and moves the reader to laughter and tears, author Pearl Cleage creates a world rich in character, human drama, and deep, compassionate understanding. After a decade of luxe living in Atlanta, Ava Johnson has returned to tiny Idlewild, Michigan -- her fabulous career and power plans smashed to bits on one dark truth: Ava has tested positive for HIV. Bur rather than a sorrowful end, her homecoming is a new beginning. Because, in the ten-plus years since she left, all the problems of the big city have invaded the sleepy community of her childhood. Because dear friends and family sorely need her help in the face of impending trouble and tragedy, and Ava cannot turn her back on them. And because, most importantly, Ava Johnson is inexplicabley and undeniably falling in love.",1998.0,3.72,244.0,18983.0
9780385333511,038533351X,Bluebeard,,Kurt Vonnegut,Fiction,http://books.google.com/books/content?id=4SZY-ylikTIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"An autobiography of Rabo Karabekian, an abstract expressionist artist, who acquired the largest collection of abstract expressionist paintings in private hands.",1998.0,4.03,318.0,29644.0
9780385721790,038572179X,Atonement,A Novel,Ian McEwan,Fiction,http://books.google.com/books/content?id=vZy0xrEHJRUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"In 1935 England, thirteen-year-old Briony Tallis witnesses an event involving her sister Cecilia and her childhood friend Robbie Turner, and she becomes the victim of her own imagination, which leads her on a lifelong search for truth and absolution.",2003.0,3.89,351.0,379336.0
9780439321624,043932162X,Quidditch Through the Ages,,J. K. Rowling,"Animals, Mythical",http://books.google.com/books/content?id=d9-FwgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A history of the sport Quidditch, answering such questions such as where the Golden Snitch came from, or why the Wigtown Wanderers have meat cleavers on their robes.",2001.0,4.4,240.0,11459.0
9780439655484,043965548X,Harry Potter and the Prisoner of Azkaban (Book 3),,"Rowling, J.K.",Juvenile Fiction,http://books.google.com/books/content?id=IZN5BgAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"For twelve long years, the dread fortress of Azkaban held an infamous prisoner named Sirius Black. Convicted of killing thirteen people with a single curse, he was said to be the heir apparent to the Dark Lord, Voldemort, and might even have assisted in the deaths of James and Lily Potter—Harry Potter’s parents. Now Black has escaped, leaving only two clues as to where he might be headed: Harry Potter's defeat of You-Know-Who was Black's downfall as well. And the Azkaban guards heard him muttering in his sleep, ""He’s at Hogwarts... he’s at Hogwarts."" Of course, Harry already had plenty to worry about. After inflating his nasty aunt and running away on the magical Knight Bus, he finds he’s being pursued by death omens at every turn. He receives two wonderful gifts: a top-of-the-line Firebolt broomstick, and the Marauder’s Map, a magical diagram of Hogwarts made by the mysterious “Moony, Wormtail, Padfoot, and Prongs.” Hermione disappears frequently, burdened down by a seemingly impossible course schedule. And the soulless Dementors have come to guard Hogwarts—supposedly to protect Harry from Sirius Black, but they terrify Harry more than the fugitive ever could. To strengthen himself against them, Harry reaches out to Remus Lupin, the Defense Against the Dark Arts teacher who was once a friend of his father’s. Lupin teaches Harry about the Patronus Charm, a defensive measure well above the level of magic generally mastered by wizards Harry’s age. But even with his broom, his map, his magic, and his loyal friends, Harry isn't safe. Because on top of everything else, there’s a traitor hidden at Hogwarts…",2015.0,4.55,435.0,2149872.0
9780440182931,044018293X,Suffer the Children,,John Saul,Fiction,http://books.google.com/books/content?id=K0f_4ezr5nYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"100 years after a young girl's murder, children are again disappearing from Port Arbello.",1989.0,3.91,378.0,27480.0
9780446696517,044669651X,True Believer,,Nicholas Sparks,Fiction,http://books.google.com/books/content?id=kgfuSgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"As a science journalist with a regular column in Scientific American, Jeremy Marsh specializes in debunking the supernatural. A born skeptic, he travels to the small town of Boone Creek, North Carolina, determined to find the real cause behind the ghostly apparitions that appear in the towns cemetery. What he doesnt plan on, however, is falling hopelessly in love with Lexie Darnell, granddaughter of the town psychic. Now, if the young lovers are to have any kind of future at all, Jeremy must make a difficult choice: return to the life he knows, or do something hes never done beforetake a giant leap of faith.",2006.0,3.8,465.0,66639.0
9780486414232,048641423X,An Ideal Husband,,Oscar Wilde,Humor,http://books.google.com/books/content?id=MapWGG3WJQgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Although Oscar Wilde (1854–1900) created a wide range of poetry, essays, and fairy tales (and one novel) in his brief, tragic life, he is perhaps best known as a dramatist. His witty, clever drama, populated by brilliant talkers skilled in the art of riposte and paradox, are still staples of the theatrical repertoire. An Ideal Husband revolves around a blackmail scheme that forces a married couple to reexamine their moral standards — providing, along the way, a wry commentary on the rarity of politicians who can claim to be ethically pure. A supporting cast of young lovers, society matrons, an overbearing father, and a formidable femme fatale continually exchange sparkling repartee, keeping the play moving at a lively pace. ike most of Wilde's plays, this scintillating drawing-room comedy is wise, well-constructed, and deeply satisfying. An instant success at its 1895 debut, the play continues to delight audiences over one hundred years later. An Ideal Husband is a must-read for Wilde fans, students of English literature, and anyone delighted by wit, urbanity, and timeless sophistication.",2001.0,4.04,78.0,32213.0
9780553379334,055337933X,Fierce Invalids Home from Hot Climates,,Tom Robbins,Fiction,http://books.google.com/books/content?id=fOOrSoBlXVoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Switters, an anarchist pacifist who works for the government and carries a gun, chases after his teenage stepsister, only to become madly enamored of a nun a decade older than him, in this hilarious new novel by the author of Even Cowgirls Get the Blues. Reprint. 50,000 first printing.",2000.0,4.03,445.0,24266.0
9780553383683,055338368X,Gates Of Fire,An Epic Novel of the Battle of Thermopylae,Steven Pressfield,Fiction,http://books.google.com/books/content?id=wdKJDQAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Chronicles the battle of three hundred Spartan warriors against a huge force of Persian soldiers in 480 B.C. against the background of life in ancient Sparta and its extraordinary culture.,2005.0,4.41,392.0,20649.0
9780553802023,055380202X,The Universe in a Nutshell,,Stephen W. Hawking;STEPHEN W AUTOR HAWKING,Science,http://books.google.com/books/content?id=VXIc358dF4gC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The author explores recent scientific breakthroughs in the fields of supergravity, supersymmetry, quantum theory, superstring theory, and p-branes as he searches for the Theory of Everything that lies at the heart of the cosmos.",2001.0,4.15,216.0,27792.0
9780618709861,061870986X,In the Lake of the Woods,,Tim O'Brien,Fiction,http://books.google.com/books/content?id=sEQmQYilkpEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Pursued by rumors of the atrocities he committed in Vietnam, a politician and his wife seek refuge in a lakeside cabin in northern Minnesota, where a mystery unfolds when the wife mysterious vanishes into the nearby wilderness. Reprint.",2006.0,3.78,303.0,14031.0
9780618711666,061871166X,The Hungry Tide,,Amitav Ghosh,Fiction,http://books.google.com/books/content?id=LN16i5rklB4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Presents a novel of life in modern India, chronicling the interwoven journey of an American marine biologist and a Delhi businessman who travel to the remote Sundarban islands.",2006.0,3.94,333.0,11220.0
