isbn13,isbn10,title,subtitle,authors,categories,thumbnail,description,published_year,average_rating,num_pages,ratings_count
9780140097313,140097317,The New York Trilogy,Ghosts,Paul Auster,,,,1987.0,3.79,203.0,11696.0
9780140115857,140115854,Moon Palace,,Paul Auster,Fiction,http://books.google.com/books/content?id=1LJlAspxeecC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Marco Stanley Fogg, an orphan of the sixties, travels from Manhattan to Utah in search of himself",1989.0,3.98,320.0,14594.0
9780140135152,140135154,Ways of Seeing,A Book,John Berger;Sven Blomberg;Chris Fox;Michael Dibb;Richard Hollis,Art,http://books.google.com/books/content?id=5gpxxgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Examines the social implications and psychological impact of the images and conventions of modern and classical artists,1972.0,3.78,176.0,177890.0
9780140143454,140143459,Liar's Poker,Rising Through the Wreckage on Wall Street,Michael M. Lewis,Biography & Autobiography,http://books.google.com/books/content?id=eboqx4Fm0zkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The author recounts his experiences on the lucrative Wall Street bond market of the 1980s, where young traders made millions quickly and easily, in a humorous account of greed and epic folly",1990.0,4.15,256.0,22710.0
9780140156041,140156046,Libra,With a New Introduction by the Author,Don DeLillo,Fiction,http://books.google.com/books/content?id=Vw1NGVkbEyAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,The scheme of two disgruntled CIA agents to stage an unsuccessful attempt on the life of President Kennedy and link it to Cuba backfires when the erratic Lee Harvey Oswald goes too far,1991.0,3.99,480.0,11361.0
9780140178135,140178139,Leviathan,,Paul Auster,Fiction,http://books.google.com/books/content?id=bvxiQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"When his closest friend, Benjamin Sachs, accidentally blows himself up on a Wisconsin road, Peter Aaron attempts to piece together the events that led to Ben's tragic demise and determine the reason for his death",1993.0,3.95,275.0,11238.0
9780140236231,140236236,Regeneration,,Pat Barker,Fiction,http://books.google.com/books/content?id=BZhHPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The first volume of the REGENERATION trilogy which centres around an actual encounter between army psychologist W.H.R.Rivers and the novelist Siegfried Sassoon, at Craiglockhart Hospital, during the First World War.",1997.0,4.03,256.0,19320.0
9780140283334,140283331,Lord of the Flies,,William Golding,Fiction,,The classic study of human nature which depicts the degeneration of a group of schoolboys marooned on a desert island,1999.0,3.67,182.0,1861140.0
9780140283358,140283358,Waiting for the Barbarians,,J. M. Coetzee,Fiction,http://books.google.com/books/content?id=1me6TSRNdb4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,A magistrate in a country village protests the army's treatment of members of the barbarian tribes taken prisoner during a civil war and finds himself arrested as a traitor.,1980.0,3.93,152.0,17232.0
9780140286274,140286276,The Deep End of the Ocean,,Jacquelyn Mitchard,Fiction,http://books.google.com/books/content?id=247V71TlJ0MC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The disappearance of her three-year-old son Ben threatens to drive a wedge between Beth Cappadora and her husband, Pat, and transforms her older son into a troubled delinquent, until one day nine years later when Ben comes back into their lives",1999.0,3.86,464.0,110552.0
